Degree,SubMajor
C10026,SMJ08195
C10026,SMJ08131
C10026,SMJ08137
C10026,SMJ10086
C10026,SMJ02036
C10026,SMJ08120
C10026,SMJ09030
C10026,SMJ01007
C10026,SMJ09058
C10026,SMJ09028
C10026,SMJ08203
C10026,SMJ08123
C10026,SMJ08116
C10026,SMJ08215
C10026,SMJ08128
C10026,SMJ02037
C10026,SMJ08139
C10026,SMJ08129
C10026,SMJ09034
C10026,SMJ09035
C10026,SMJ08130
C10026,SMJ08109
C10026,SMJ08138
C10026,SMJ01025
C10026,SMJ09036
C10026,SMJ08126
C10026,SMJ01009
C10026,SMJ08204
C10026,SMJ09033
C10026,SMJ08219
C10026,SMJ10159
C10026,SMJ08223
C09066,SMJ10089
C09066,SMJ10090
C09067,SMJ10089
C09067,SMJ10090
C10066,SMJ10089
C10066,SMJ10090
